iter	Passed	Remaining
882	16708	2213
883	16729	2195
884	16746	2176
885	16765	2157
886	16785	2138
887	16805	2119
888	16825	2100
889	16844	2081
890	16864	2063
891	16882	2044
892	16898	2024
893	16918	2006
894	16937	1987
895	16958	1968
896	16978	1949
897	16994	1930
898	17014	1911
899	17033	1892
900	17050	1873
901	17068	1854
902	17085	1835
903	17104	1816
904	17125	1797
905	17144	1778
906	17164	1759
907	17184	1741
908	17204	1722
909	17224	1703
910	17244	1684
911	17264	1665
912	17284	1647
913	17300	1627
914	17321	1609
915	17342	1590
916	17360	1571
917	17379	1552
918	17399	1533
919	17416	1514
920	17436	1495
921	17457	1476
922	17476	1457
923	17495	1438
924	17515	1420
925	17535	1401
926	17553	1382
927	17570	1363
928	17589	1344
929	17608	1325
930	17627	1306
931	17648	1287
932	17667	1268
933	17687	1249
934	17708	1231
935	17724	1211
936	17744	1193
937	17765	1174
938	17785	1155
939	17803	1136
940	17823	1117
941	17840	1098
942	17858	1079
943	17878	1060
944	17899	1041
945	17919	1022
946	17937	1003
947	17956	984
948	17975	966
949	17993	947
950	18011	928
951	18027	908
952	18047	890
953	18067	871
954	18087	852
955	18106	833
956	18126	814
957	18144	795
958	18164	776
959	18184	757
960	18204	738
961	18225	719
962	18245	701
963	18261	681
964	18283	663
965	18300	644
966	18319	625
967	18336	606
968	18356	587
969	18376	568
970	18395	549
971	18415	530
972	18433	511
973	18454	492
974	18474	473
975	18500	454
976	18521	436
977	18541	417
978	18561	398
979	18580	379
980	18600	360
981	18619	341
982	18640	322
983	18660	303
984	18681	284
985	18699	265
986	18721	246
987	18742	227
988	18760	208
989	18777	189
990	18797	170
991	18818	151
992	18839	132
993	18858	113
994	18875	94
995	18896	75
996	18916	56
997	18935	37
998	18956	18
999	18975	0
